MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,FRNT_VIN,CURB_WEIGHT,SIDE_VIN,POLE_VIN,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA,PK,SK
BMW,3 SERIES SEDAN,2026,4 DR,PC,AWD,5,4586,4982,WBA5R7C02MFK51022,3648,WBA5R1C08MFK51099,WBA5R1C04MFK51620,0.092,1.5,5,,,BMW#3 SERIES SEDAN,2026#4 DR
BMW,3 SERIES SEDAN,2026,4 DR,PC,RWD,5,4586,4982,WBA5R7C02MFK51022,3648,WBA5R1C08MFK51099,WBA5R1C04MFK51620,0.092,1.5,5,,,BMW#3 SERIES SEDAN,2026#4 DR
BMW,4 SERIES CONVERTIBLE,2026,C,PC,AWD,4,4971,5280,,,,,0,0,,,,BMW#4 SERIES CONVERTIBLE,2026#C
BMW,4 SERIES CONVERTIBLE,2026,C,PC,RWD,4,4971,5280,,,,,0,0,,,,BMW#4 SERIES CONVERTIBLE,2026#C
BMW,4 SERIES COUPE,2026,2 DR,PC,AWD,4,4575,4960,,,,,0,0,,,,BMW#4 SERIES COUPE,2026#2 DR
BMW,4 SERIES COUPE,2026,2 DR,PC,RWD,4,4575,4960,,,,,0,0,,,,BMW#4 SERIES COUPE,2026#2 DR
BMW,4 SERIES GRAN COUPE,2026,4 DR,PC,AWD,5,5060,5445,,,,,0,0,,,,BMW#4 SERIES GRAN COUPE,2026#4 DR
BMW,4 SERIES GRAN COUPE,2026,4 DR,PC,RWD,5,5060,5445,,,,,0,0,,,,BMW#4 SERIES GRAN COUPE,2026#4 DR
BMW,5 SERIES HYBRID SEDAN,2026,4 DR,PC,AWD,5,6195,6195,,,,,0,0,,,,BMW#5 SERIES HYBRID SEDAN,2026#4 DR
BMW,5 SERIES SEDAN,2026,4 DR,PC,AWD,5,5192,5534,,,,,0,0,,,,BMW#5 SERIES SEDAN,2026#4 DR
BMW,5 SERIES SEDAN,2026,4 DR,PC,RWD,5,5192,5534,,,,,0,0,,,,BMW#5 SERIES SEDAN,2026#4 DR
BMW,7 SERIES HYBRID SEDAN,2026,4 DR,PC,AWD,5,6878,6878,,,,,0,0,,,,BMW#7 SERIES HYBRID SEDAN,2026#4 DR
BMW,7 SERIES SEDAN,2026,4 DR,PC,AWD,5,6140,6570,,,,,0,0,,,,BMW#7 SERIES SEDAN,2026#4 DR
BMW,7 SERIES SEDAN,2026,4 DR,PC,RWD,5,6140,6570,,,,,0,0,,,,BMW#7 SERIES SEDAN,2026#4 DR
BMW,8 SERIES CONVERTIBLE,2026,C,PC,AWD,4,5115,5545,,,,,0,0,,,,BMW#8 SERIES CONVERTIBLE,2026#C
BMW,8 SERIES CONVERTIBLE,2026,C,PC,RWD,4,5115,5545,,,,,0,0,,,,BMW#8 SERIES CONVERTIBLE,2026#C
